SIDNEY                         => Hi, I'm Sidney. And I love to TEC-9. The popular TEC-9 is advertised by its makers as being tough as the toughest customer.
MAX                            => You know who put the dope in your bag?
JACKIE                         => Yeah, but that's not what this was about. They were fuckin waitin' for my ass. They knew I had that money, they even knew the amount. The one who searched my bag, from L.A.P.D., Dargus, hardly even looked at it. "Oh, I'd say there's fifty thousand here. What would you say?" But all they could do was threaten me and hand me over to Customs, and I could tell they didn't want to do that.
MAX                            => They wanted you to tell them what you know.
JACKIE                         => I had 'em too. I burnt those two Starky and Hutch motherfuckers down. Then their asses lucked out and found that coke.
MAX                            => What did they want to know?
JACKIE                         => Who gave me the money and who I was giving it to. And some guy they found in a trunk with his head blown off. Said it was him who told them 'bout me.
ROWEN                          => Can I get you two some popcorn?
MAX                            => No, thanks.
MAX                            => That would be Beaumont Livingston.
JACKIE                         => That's him. How do you know 'em?
MAX                            => I wrote him on Monday. They found him dead on Tuesday.
JACKIE                         => Ordell pick up his bond?
MAX                            => Same as you. Ten thousand.
JACKIE                         => The federal agent kinda half hinted Ordell might of done Beaumont.
MAX                            => You mentioned a guy from L.A.P.D., but you didn't mention the Federal.
JACKIE                         => I didn't?
MAX                            => No, you didn't. What branch?
JACKIE                         => Ray Nicolet with Alcohol, Tobacco, and Firearms.
MAX                            => He's the one who wants you.
JACKIE                         => It was the other guy who busted me.
MAX                            => 'Cause if he busted you, you'd play hell bonding out of federal court. He doesn't want you mad at him, he wants you to tell him what you know. He uses you to get a line on Ordell, make a case, then take him federal. You know what Ordell's into?
JACKIE                         => I have a pretty good idea. Ordell aint no bootlegger and I doubt he's smugglin' Cuban cigars. So that only leaves one thing an A.T.F. man would be interested in.
JACKIE                         => I used to bring over ten thousand at a time. That's the legal limit, so I never brought more than that.
MAX                            => How many trips did you make?
JACKIE                         => With ten thousand? Nine.
MAX                            => He's got that kinda money?
JACKIE                         => It's all in lock boxes in a Mexico bank. But he's got a problem. He's - what do you call it when you got money, but don't have cash?
MAX                            => Cash poor?
JACKIE                         => That's it. He's cash poor. He kept on me till I finally said okay. I'll bring whatever fits in a nine-by- twelve envelope. I got paid five hundred dollars, and his friend, Mr. Walker, in Mexico gave me the envelope.
MAX                            => If you knew bringing anything over ten thousand was against the law, why not pack a hundred grand?
JACKIE                         => Whatever it was had to fit in my bag and not hit you in the face if the bag was opened. This ain't solvin' my problem. I gotta figure out a way to either keep my job or get out of trouble. I'm of today, but if I can't leave the country I'm out of a job. And if I don't got a job, I can't hire a lawyer.
MAX                            => Ask A.T.F. They might give you permission.
JACKIE                         => Yeah, if I cooperate.
MAX                            => Well, Jackie, you got caught, you're gonna have to give 'em something.
JACKIE                         => But if all I can give 'em is Ordell's name - I don't really know shit about what he does or how he does it - That don't give me much to bargain with.
MAX                            => Give 'em what you got. Offer to help. Show a willingness to be helpful. You want to stay out of jail, don't you?
MAX                            => What'dya think?
JACKIE                         => I think maybe I have more options than I thought.
ORDELL                         => How you doing, Ms. Jackie?
JACKIE                         => I was expecting you. Come in.
ORDELL                         => You got some booze?
JACKIE                         => I got some vodka in the freezer.
ORDELL                         => Got some o.j.?
JACKIE                         => Yeah.
ORDELL                         => Well, then, why don't you be a good hostess and make me a screwdriver?
JACKIE                         => Sure.
ORDELL                         => You gonna thank me?
JACKIE                         => For what?
ORDELL                         => Who you think got your ass outta jail?
JACKIE                         => The same guy who put me in, thanks a lot.
ORDELL                         => Hey, you get caught with blow, that's our business.
JACKIE                         => It wasn't mine.
ORDELL                         => Oh, shit. I bet it was that present Mr. Walker was sending Melanie. Yaaaah, he's the one musta put it in there if you didn't. Oh, man, that shit's uncalled for, baby, and I apologize. I 'magine they asked you a shitload of questions about it, huh? All that money, want to know where you got it?
ORDELL                         => I'magine they asked who you givin' it to, too.
JACKIE                         => They asked.
ORDELL                         => And what was your answer?
JACKIE                         => I said I wanted to talk to a lawyer.
ORDELL                         => You positive about that? You weren't nervous and let something slip by mistake? If you did, I ain't mad, I just gotta know.
JACKIE                         => You're not asking the right questions.
JACKIE                         => Beaumont Livingston.
ORDELL                         => I knew it.
JACKIE                         => And they asked if I knew Mr. Walker.
ORDELL                         => Yeah?
JACKIE                         => I didn't tell 'em anything.
ORDELL                         => My name come up?
ORDELL                         => You say anything about me?
ORDELL                         => Well, that's mighty honorable of you.
ORDELL                         => This fella Beaumont, they say what happened to him?
JACKIE                         => They told me.
ORDELL                         => Yeah, somebody musta been real mad at Beaumont. Or  they were afraid of what he might say to keep from doin some time. I'magine from time-to-time they asked you a whole shitload of questions. And you didn't give 'em no answer?
ORDELL                         => You scared of me?
ORDELL                         => You got a reason to be nervous with me?
MAX                            => Where is it?
ORDELL                         => Is that what I think it is?
JACKIE                         => What do you think it is?
ORDELL                         => I think it's a gun pressing against my dick.
JACKIE                         => You thought right... Now take your hands from around my throat, nigga.
ORDELL                         => What the hell you doin'?
JACKIE                         => Shut your ass up and grab the wall!
ORDELL                         => Now, baby, that's got nothin' to do with you. I just carry that. You been listenin' to them cops too much.
JACKIE                         => The cops didn't try and strangle my ass.
ORDELL                         => Damn, Jackie, I was just playin' with you.
JACKIE                         => Well, I ain't playin with you. I'm gonna unload both these motherfuckers, you don't do what I tell you. Understand what I'm saying?
ORDELL                         => Baby, I ain't come here -
JACKIE                         => I said, you understand what I'm saying
ORDELL                         => I understand woman, damn!
JACKIE                         => Go sit over in that chair.
ORDELL                         => I'm tellin' you, those cops been fuckin' wit your mind. They turn black against black, that's how they do.
JACKIE                         => Shut your raggedy ass up and sit down.
JACKIE                         => Put both hands behind our head.
ORDELL                         => This shits gettin silly now...
JACKIE                         => I gotta tell you to shut up one more time, I'm gonna shut you up.
ORDELL                         => I just came here to talk.
JACKIE                         => Way I see it, me and you only got one thing to talk about. What you willing to do for me?
ORDELL                         => Well, I can get you a good lawyer -
JACKIE                         => Let's get realistic, baby. Sooner or later they're gonna get around to offering me a plea deal, and you know that. That's why you came here to kill me.
ORDELL                         => - Baby, I didn't -
JACKIE                         => - It's okay. I forgive you. Now, let's say if I tell on you, I walk. And if I don't, I go to jail.
ORDELL                         => Yeah?
JACKIE                         => One hundred thousand put in an escrow account in my name, if I'm convicted up to a year, or put on probation. If I have to do more than a year, you pay another hundred thousand.
ORDELL                         => I got a problem...
JACKIE                         => All your money's in Mexico.
ORDELL                         => Yeah.
JACKIE                         => I been thinkin about that, too, and I got me a idea.
JACKIE                         => I'll talk to the cops tomorrow and tell you if it's on.
ORDELL                         => Talk to you tomorrow.
JACKIE                         => You want your gun, don't you? Come in. I'll go get it.
JACKIE                         => Max, I'm sorry. I was afraid if I asked to borrow it you'd say no. You'd have to. Would you like some coffee?
MAX                            => If you're having some.
JACKIE                         => I am. Have a seat.
MAX                            => You get a chance to use it?
JACKIE                         => I felt a lot safer having it. My milk went bad when I was in jail.
MAX                            => Black's fine.
MAX                            => You want to hang on to it awhile? It wouldn't be legal, but if it makes -
JACKIE                         => Thanks, but I have my own now.
MAX                            => You went out this morning and bought a gun?
JACKIE                         => What, I couldn't hear you?
MAX                            => You went out this morning and bought a gun.
JACKIE                         => Let's just say I got one, okay?
MAX                            => Somebody loan it to you?
JACKIE                         => Yeah.
JACKIE                         => Want to hear some music?
MAX                            => Sure.
JACKIE                         => I couldn't wait till I got home last night and wash my hair.
MAX                            => It looks nice.
MAX                            => You never got into the whole CD revolution?
JACKIE                         => I got a few. But I can't afford to start all over again. I got too much time and money invested in my records.
MAX                            => Yeah, but you can't get new stuff on records.
JACKIE                         => I don't buy new stuff that often.
MAX                            => This is pretty.
JACKIE                         => Uh-huh.
MAX                            => Who is this?
JACKIE                         => The Delfonics.
MAX                            => '76?
JACKIE                         => '74, I think.
MAX                            => It's nice.
JACKIE                         => I called in sick this morning. As far as the airline knows, I'm still available.
MAX                            => Are you?
JACKIE                         => I don't know yet. 'm going to talk with Dargus and Nicolet today. Do what you suggested. Offer to help and see what happens.
MAX                            => What I meant was have a lawyer do the negotiating for you.
JACKIE                         => I want to talk to them first. I know more now about Ordell's money.
MAX                            => Well, if the A.T.F. guy is the one who wants you, that'll only interest him up to a point.
JACKIE                         => It's a lot of money. About a half-a- million dollars. All of it in Cabo in safe deposit boxes and more comin in.
MAX                            => How'd you find that out?
JACKIE                         => He told me last night.
MAX                            => He called you?
JACKIE                         => He came by.
MAX                            => What?... What'd you do?
JACKIE                         => We talked.
JACKIE                         => He had his doubts at first. But he's always trusted me an wants more than anything to believe he still can.
MAX                            => Why?
JACKIE                         => He needs me. Without me all that money is just gonna sit over there in Cabo. Sugar?
MAX                            => No thanks. There's gotta be other ways to get it out.
JACKIE                         => Maybe, but 'm the only one he's ever used. He can't trust his other people. They're crooks. He can try bringing I in himself, but Ordell sure don't want to go through no Customs line. Either he recruits another Cabo stewardess, or he continues to trust me. I made him feel he still can.
MAX                            => How do you get it out?
JACKIE                         => Same way I been don', but first they got to let me go back to work.
MAX                            => You're gonna offer to set him up?
JACKIE                         => If I get let off. Otherwise, fuck 'em.
MAX                            => It's very possible Ordell's killed somebody.
JACKIE                         => I ain't goin' to jail, and I ain't doin' that probation thing again.
JACKIE                         => How do you feel about getting old?
MAX                            => You're not old. You look great.
JACKIE                         => I'm asking how you feel. Does it bother you?
MAX                            => It's not really something I think about.
JACKIE                         => Really?
MAX                            => Okay, I'm a little sensitive about my hair. It started falling out ten years ago. So I did something about it.
JACKIE                         => How'd you feel about it?
MAX                            => I'm fine with it, or I wouldn't of done it, I did it to feel better about myself, and I do. When I look in the mirror it looks like me.
JACKIE                         => It's different with men.
MAX                            => You know, I can't really feel too sorry for you in that department.
MAX                            => In fact, I'd make a bet that except possibly for an Afro - you look exactly the same as you did at twenty nine.
JACKIE                         => My ass ain't the same.
MAX                            => Bigger?
JACKIE                         => Yeah.
MAX                            => Nothin wrong with that.
MAX                            => Does something else worry you?
JACKIE                         => I just feel like I'm always starting over. You said how many bonds you wrote?
MAX                            => Fifteen thousand.
JACKIE                         => Well, I've flown seven million miles. And I've been waitin' on people almost twenty years. The best job I could get after my bust was Cabo Air, which is about the worst job you can get in this industry. I make about sixteen thousand, with retirement benefits , ain't worth a damn. And now with this arrest hanging over my head, I'm scared. If I lose my job I gotta start all over again, but I got nothin to start over with. I'll be stuck with whatever I can get. And that scares me more than Ordell.
DARGUS                         => Come in.
DARGUS                         => Great, you're here.
NICOLET                        => Hey, Jackie.
DARGUS                         => Let me have a word outside with Agent Nicolet for a moment?
JACKIE                         => Take your time.
DARGUS                         => Thanks.
NICOLET                        => Well just be a minute.
JACKIE                         => Can I smoke?
DARGUS                         => Go ahead.
NICOLET                        => What's going on?
DARGUS                         => She wants to make a deal.
NICOLET                        => She sound scared?
DARGUS                         => She almost sounds scared.
NICOLET                        => What's she want?
DARGUS                         => She wants to go back to work.
NICOLET                        => What's she willing to give us?
DARGUS                         => She hasn't one into specifics yet, she's been waiting for you.
NICOLET                        => She knows it's my case?
DARGUS                         => She ain't said it, but she's not stupid, she knows it's you who wants her.
NICOLET                        => Thanks for waiting, Jackie. Now tell me, what can we do for you?
JACKIE                         => I need permission to leave the country so I keep my job.
NICOLET                        => We can look into that.
JACKIE                         => I need it tomorrow. If I don't show up for work tomorrow, I'm fired.
NICOLET                        => You know what we want.
JACKIE                         => If I'm working, I can help you.
DARGUS                         => Help us do what?
JACKIE                         => Help you get Ordell Robbie.
NICOLET                        => Oh, so now you know him?
JACKIE                         => You never asked me if I did or not.
DARGUS                         => But now you're telling us now you do.
JACKIE                         => 'Course I do - I deliver money for him.
NICOLET                        => No shit. You know how he makes hi money?
JACKIE                         => He sells guns.
NICOLET                        => You ever see him sell guns?
JACKIE                         => No.
NICOLET                        => Then how do you know he sells guns?
JACKIE                         => He told me. Besides, why else would an A.T.F. man be after him?
NICOLET                        => How can you help us?
JACKIE                         => Short of wearing a wire, I'll do everything I can to help you throw his ass in jail. And in exchange for my help, I need permission to leave the country and immunity.
DARGUS                         => You don't want much, do you?
JACKIE                         => Can you do it or not?
DARGUS                         => It's your call.
NICOLE                         => It's possible.
ORDELL                         => We're back.
MELANIE                        => 'Ola!
MELANIE                        => Hey, hey, hey. I think somebody's got some new clothes.
ORDELL                         => We been shoppin'. Can't have my boy running around lookin' like a bum on the street.
LOUIS                          => I didn't look like a bum.
ORDELL                         => But you did have a Salvation Army- thing going.
ORDELL                         => Goddam, girl. You gettin' high already. It's only two o'clock.
MELANIE                        => It's that late?
ORDELL                         => Ha-ha-ha. I'm serious, you smoke too much of that shit. That shit robs you of your ambition.
MELANIE                        => Not if your ambition is to get high and watch TV.
ORDELL                         => You two a coupla Cheech and Chongs, ain't ya. (he moves towards the phone - to Melanie) Oh, that's okay, I'll get it.
ORDELL                         => Hello.  Hey, Jackie... (throwing a hard look at Melanie)
MELANIE                        => I was gonna tell you...
ORDELL                         => No, not on the phone, let's meet somewhere. But you gotta make sure they ain't followin' you...
LOUIS                          => Is it ready to go?
MELANIE                        => Yeah, there's another hit left.
JACKIE                         => The Cockatoo Inn.
ORDELL                         => The Cockatoo Inn? Where's that?
JACKIE                         => It's right on Hawthorne Boulevard and Manhattan Beach Boulevard. It's red brick...
ORDELL                         => Oh, wait, you mean that place that has the big sign with a rooster on it?
JACKIE                         => It's a cockatoo.
MELANIE                        => You okay?
LOUIS                          => Yeah, I'm just gettin' old. I can't smoke or laugh now it seems without coughing.
MELANIE                        => Coughing opens up the capillaries. When you cough, you're getting air - in this case smoke - to parts of the lung that don't normally get used. Coughing's good - gets ya higher. My dad coughs when he smokes all the time.
ORDELL                         => Hey, Louis, I have to go out awhile. So since you like gettin' high so much, why don't you stay here with Melanie, get high, and watch cartoons?
LOUIS                          => Way ahead of you.
ORDELL                         => So you just watch this for the next three hours, and I'll be back. Then, when I'm through with all my business, I'll get high. I get high at night. Walk me to the door, space girl.
ORDELL                         => Hope you don't mind keeping him company.
MELANIE                        => No problem.
ORDELL                         => Try not to rip his clothes off 'em they're new.
ORDELL                         => I'll be back in an hour, man. Just hang with Mel.
MELANIE                        => Want a Metrix?
LOUIS                          => What's a Metrix?
MELANIE                        => It's like this major meal in a shake you drink instead of having a big meal.
LOUIS                          => It's a diet thing?
MELANIE                        => No, it's what body builders drink to beef up.
LOUIS                          => No thanks.
LOUIS                          => How old were you here?
MELANIE                        => Which one?
LOUIS                          => The roller disco one.
MELANIE                        => Fourteen.
LOUIS                          => You're fourteen years old here?
MELANIE                        => Yeah.
LOUIS                          => I thought you were sixteen.
MELANIE                        => I was pretty much the same height now as I was then.
LOUIS                          => Were you a disco girl?
MELANIE                        => Noooo, I was a surfer girl. Besides, I was only fourteen. I couldn't go to discos.
LOUIS                          => So where did you go?
MELANIE                        => The beach. Or get high, drop acid at a friend's place. I was a K.L.O.S. girl. I hated disco.
MELANIE                        => That was taken at a place called "Flippers." It was in Hollywood. Were you in L.A. back then?
LOUIS                          => No.
MELANIE                        => Where were you?
LOUIS                          => Detroit.
MELANIE                        => With Ordell?
LOUIS                          => We had done time together already.
MELANIE                        => Were you a disco guy?
LOUIS                          => No.
MELANIE                        => C'mon, don't lie.
LOUIS                          => I don't like dancing.
MELANIE                        => Did you ever go I one?
LOUIS                          => I went to a few just to meet women. But I don't like to dance, and it's so fuckin; loud. During that whole scene I just drank in bars. (he points to the cut picture) Who didn't make the cut?
MELANIE                        => That's a picture of me in Japan.
LOUIS                          => You been to Japan?
MELANIE                        => I lived there for about nine months.
LOUIS                          => You lived in Japan, when?
MELANIE                        => About five years ago.
LOUIS                          => Who's arm is that?
MELANIE                        => That's the guy I lived with... his name was... Hir.Hirosh.
LOUIS                          => Must of made quite an impression.
MEALINE                        => I never got to know him, really. I couldn't speak Japanese, and his English was terrible. But I couldn't say anything, because his English was better than my Japanese.
LOUIS                          => That sounds like a problem.
MELANIE                        => Not really. We didn't have much to say to each other anyway. I never got to know him that well, but I knew enough to know I wasn't missing much. I keep that, because of all the fuckin' time I was there, that's the only picture I got of me in Japan. (she points beyond her shoulder) That's Japan.
MELANIE                        => Wanna fuck?
LOUIS                          => Sure.
MELANIE                        => That was fun.
LOUIS                          => Yeah, that really hit the spot.
MELANIE                        => Now that's over, let's get to know each other.
ORDELL                         => I gotta remember this place. This is all right. Two minutes from your crib, ten minutes from your work. Not bad...
FLOYD                          => What's your drink, brother?
ORDELL                         => Screwdriver.
FLOYD                          => How you doin'?
JACKIE                         => I'm fine.
FLOYD                          => Yes, you are.
ORDELL                         => I bet you come here on a Saturday night, you need nigga repellent keep 'em off your ass.
JACKIE                         => I do okay.
ORDELL                         => You a fine lookin' woman, Jackie. I bet you do a damn sight better than okay. You think anybody followed you?
JACKIE                         => I don't think so, but it don't really matter. They know I'm meeting you.
ORDELL                         => How the fuck they know that?
JACKIE                         => I told them.
FLOYD                          => Three twenty-five.
ORDELL                         => Keep it.
FLOYD                          => Thank you, sir.
ORDELL                         => You told em? You told em it's me?
JACKIE                         => They already know it's you.
ORDELL                         => Well, shit. That don't mean you gotta confirm it!
JACKIE                         => Look, the only way I can get permission to fly is if I agree to help them. Which is what I have to appear to be doing. So I give them something they already know. You.
ORDELL                         => Didja tell 'em anything else?
JACKIE                         => I told them you got a half a million dollars in Mexico, and you want me to bring it here.
ORDELL                         => You told them that?
JACKIE                         => It's true, isn't it?
ORDELL                         => What the fuck's that got to do with it?
JACKIE                         => They know I'm delivering for you. I mention the half-million - they don't give a fuck about that - They want you with guns. So I say, well, if you want proof he's getting paid for selling them, let me bring the money in.
ORDELL                         => What did they say?
JACKIE                         => Yes.
MELANI                         => ... so first he tries to get into the cocaine business but realizes right away that shit's too competitive. Piss the wrong person off, you get shot. So he says, fuck that - moves over to guns. You can sell guns wherever there's a demand. No one gives a shit. He acts like he's this big international arms dealer, when, come on, the only people he ever sold to were dopers.
LOUIS                          => He seems to be making out.
MELANIE                        => Is it dead?
LOUIS                          => Yeah.
MELANIE                        => Well, so far he is. But you have to admit he's not too bright.
LOUIS                          => I wouldn't go so far as to say that.
MELANIE                        => He moves his lips when he reads, what does that tell ya. Let's say he's streetwise. I'll give 'im that. He's still a fuck-up.
MELANIE                        => He killed a man worked for him the other night.
LOUIS                          => So what are you trying to tell me? I should get out of here?
MELANIE                        => That's not what I'm saying at all. You know where he went?
LOUIS                          => No.
MELANIE                        => He went to meet that stewardess.
LOUIS                          => Does that bother you?
MELANIE                        => Please.
LOUIS                          => You live with him.
MELANIE                        => I live here. He drops in and out. He tell you about that half-million dollars he's got in Mexico?
LOUIS                          => Uh-huh?
MELANIE                        => Course he did, he tells everybody who'll listen. That's what he's doin' with this stewardess. He's scheming how he can get it over here.
LOUIS                          => And your point is?
MELANIE                        => Let him and that stewardess get that money over here...
LOUIS                          => Uh-huh?
MELANI                         => ... and just take it from him.
JACKI                          => ... I make two deliveries. The first one with ten thousand, like a dry run. They watch it. See how it works. Then we do a second delivery, when I bring in the half mill.
ORDELL                         => Naw, naw, that's too much exposure. I ain't goin anywhere near that money.
JACKIE                         => You don't have to. I told 'em you're real careful. You never pick up money yourself. You always send someone, and I never know who it is.
ORDELL                         => That's a good idea.
JACKIE                         => If you just listen, you'll see it's a damn good idea. The first time I do it they're lurking about. They see me hand the ten thousand to someone.
ORDELL                         => Who?
JACKIE                         => I don't know. One of your friends.
ORDELL                         => A woman.
JACKIE                         => If you want.
ORDELL                         => Yeah, I think a woman.
JACKIE                         => The next trip, when I come with all the money, it'll look like I hand it to the same one I did before...
ORDELL                         => But you don't?
JACKIE                         => No, I give it to someone else first.
ORDELL                         => And they follow the wrong one thinkin' she's bringing it to me.
JACKIE                         => That's the idea.
ORDELL                         => So we need two people, two women.
JACKIE                         => Can you cover that?
ORDELL                         => I got the woman covered. Where you thinkin' about doin' this?
JACKIE                         => I was thinkin' the Del Amo Mall. In the food court.
ORDELL                         => I suppose you see a piece of this for yourself?
JACKIE                         => Well, it's my plan. We're in this together.
ORDELL                         => Yeah, but it's my money, and I don't need me a partner.
JACKIE                         => I ain't your partner, I'm your manager. I'm managing to get your money out of Mexico, into America, in your hands, and I'm managing to do all this under the nose of the cops. That makes me your manager, and managers get fifteen percent.
ORDELL                         => Managers get ten percent.
JACKIE                         => That's an agent. Manager's get fifteen percent.
ORDELL                         => I'll give ya ten.
JACKIE                         => Plus the same deal as before.
ORDELL                         => I can do that.
MACHINE VOICE                  => You have on message. Sent at 8:06 P.M.
MAX                            => Hi, Jackie. It's Max. I was just calling to find out how everything went today with A.T.F. If you want to call me, my home number is 555-6788, or you can reach me at my office, which is 555-B-A-I-L. That's also on the card I gave you when we first met - I don't know if you still have that - but it's on it - Oh, let me give you my beeper number. It's 555-7839. Okay, so I'll talk to you later. Hope everything's well. Bye-bye.
MACHINE VOICE                  => End of message.
JACKIE                         => The money's in a Broadway shopping bag. I get some food, and sit down here in the food court. Then your girl comes - you got somebody yet?
ORDELL                         => Uh-huh.
JACKIE                         => Who?
ORDELL                         => What'd you care?
JACKIE                         => Look, it's my ass facin' the penitentiary. You send some hard- headed roc whore, and she fucks things up.
ORDELL                         => I ain't gonna send no roc whore. The woman's cool, I promise.
JACKIE                         => Don't forget your bag.
MAX                            => walks into the food court. He stands looking a all the international fast food choices in front of him. As he tries to decide, he hears from behind him;
JACKIE                         => Max.
MAX                            => Well, hello.
JACKIE                         => Surprise.
MAX                            => I walked right past you.
JACKIE                         => I know, ignoring me. What're you up to?
MAX                            => Catching a movie.
JACKIE                         => What'd ya see?
MAX                            => "American Prseident"
JACKIE                         => How was it?
MAX                            => Pretty good. Me and Annette Bening are goin steady.
JACKIE                         => Oh, are you? Does she know that?
MAX                            => No... (sitting down at the table) ... I don't believe she's ever heard of me. But that doesn't mean we're not going steady.
ORDELL                         => What's up with this shit.
MAX                            => I think falling in live with movie stars is something that happens to a man as he gets older.
JACKIE                         => Does it happen to all men?
MAX                            => Well, I'd never be so bold as to speak for all men, but as or myself and a few of my friends, that's definitely the case. There's a lot of actresses out there you like, and there's some you have crushes on. But there's always one who you love. And with her it's sorta like going steady.
JACKIE                         => And Annette's it for you?
MAX                            => For now. These relationships never last too long.
JACKIE                         => That's a goddam man for ya. Can't even be faithful to a fuckin' movie star.
JACKIE                         => Who was your girl before Annette?
MAX                            => Sandra Bullock. You know her?
JACKIE                         => Yeah, she's the girl who drove the bus in "Speed." She's cute.
MAX                            => She's adorable. But I had to end it.
JACKIE                         => Why?
MAX                            => I'm old enough to be her father.
JACKIE                         => How old's Annette?
MAX                            => I don't care.
MAX                            => What're you, a bag lady?
JACKIE                         => I go back to work tomorrow.
MAX                            => You talk them into it?
JACKIE                         => They seem to like the idea.
MAX                            => Bring the money in and they follow it?
JACKIE                         => Yea, but I'm going to dress it up. Put the money in a shopping bag and hand it to someone I meet here.
MAX                            => You don't actually do it that way?
JACKIE                         => He always just picked it up at my place. But with A.T.F. involved, I want to stage it. You know, make it look more intriguing, like we know what the fuck we're doin'. Then it's up to Ray Nicolet, the A.T. F. guy to follow the shopping bag.
MAX                            => Make the delivery somewhere in the mall.
JACKIE                         => Right around here, in the food court.
MAX                            => Sit down, leave the bag under the table?
MAX                            => Will Ordell go for that?
JACKIE                         => I'm helping him bring his money into America. He loves the idea. You just missed him.
MAX                            => He was here?
JACKIE                         => Yeah, we were goin' over everything. That's why all the bags.
MAX                            => I called you last night.
JACKIE                         => I know, I got your message. Ray wanted to have dinner. He wanted to talk about the sting we're plotting. That's what he calls it. A sting. He's being real nice to me.
MAX                            => You think he's got a thing for you?
JACKIE                         => Maybe. But I'm thinking it might be something like he wants the money for himself.
MAX                            => I don't follow your logic. What does his being nice to you have to do with him wanting Ordell's money?
JACKIE                         => He's setting me up to make a proposition.
MAX                            => I see.
JACKIE                         => You don't propose something like that unless you're pretty sure the other person's into it.
MAX                            => Has he hinted around?
JACKIE                         => Not really. But I knew this narcotics cop one time. Told me that in a raid, the whole package never gets back to the station. His exact words.
MAX                            => You know some interesting people.
JACKIE                         => We weren't bullshittin' either, 'cause later he was suspended and forced to retire.
MAX                            => Has Nicolet told you any colorful stories like that?
JACKIE                         => He tries to act cool.
MAX                            => No harm in that. He's a young guy havin' fun being a cop. I know the type, trust me on this. He's more interested in Ordell than the money. If he's gonna do anything suspect, it'll be cutting corners to get the conviction; but he wouldn't walk off with the money. It's evidence.
JACKIE                         => What about you Max?
MAX                            => What? If I was in Nicolet's place?
JACKIE                         => No, I mean you, right now. Not it you were somebody else.
MAX                            => If I saw a way to walk off with a shopping bag full of money, would I take it?
JACKIE                         => You know where it came from. It's not like it's anybody's life savings. It wouldn't even be missed.
MAX                            => A half-a-million dollars will always be missed.
JACKIE                         => You're avoiding the question.
MAX                            => Okay, sure. I might be tempted. Especially now, since I'm getting out of the bail bonds business.
MAX                            => I have to stand behind all my active bonds, but I'm not writing any new ones.
JACKIE                         => Why?
MAX                            => A lot of reasons. But the main one would be I'm tired of it.
JACKIE                         => When did you decide?
MAX                            => It's been a long time coming. I finally made up my mind - I guess it was Thursday.
MAX                            => Hi, I'm Max Cherry. Your bail bondsman.
JACKIE                         => The day you got me out of jail?
MAX                            => Yeah, that night I went to pick up a guy. I hear he's staying at this house, so I sneak in, wait for him to come home.
JACKIE                         => Wait a minute. After we were together you went and snuck into a guy's house?
MAX                            => Uh-huh.
MAX                            => I dropped you off...
MAX                            => Went to my office, found out you took my gun...
MAX                            => Got another gun and a stun gun...
MAX                            => And went to this guy's house in El Monte, and I waited for him.
JACKIE                         => What do you do when he comes home?
MAX                            => Shoot him with the stun gun. While he's incapacitated, cuff him, take 'em to County.
JACKIE                         => You do that?
MAX                            => That's my job.
JACKIE                         => Did you do it that night?
MAX                            => He never came home. But I'm sitting on the couch, in the dark, holding my stun gun and the whole house smells of mildew - So after a couple hours I think, "What am I doing here? Nineteen years of this shit? So I made up my mind, that's it.
JACKIE                         => And is that it?
MAX                            => More or less.
JACKIE                         => I'm not sure you answered my question.
MAX                            => Which one?
JACKIE                         => If you had a chance, unemployed now, to walk off with a half-million dollars, would you take it?
MAX                            => I believe I said I'd be tempted.
MAX                            => Don't even think about it. You could get yourself killed go to prison...
JACKIE                         => What if I've figured a way?
JACKIE                         => Bye bye... Bye now... Goodbye Bye bye... Bye bye... Goodbye
NICOLET                        => We gotta stop meeting this way.
DARGUS                         => How was your flight?
JACKIE                         => Fine.
DARGUS                         => Bet you're happy to be working again.
NICOLET                        => This is A.T.F. agent Ray Nicolet, Jackie Brown, Ordell Robbie money exchange trial run. It's three p.m., July 4th 1997. The location is the parking structure at LAX.
JACKIE                         => What are you doing?
NICOLET                        => I'm recording this.
JACKIE                         => I thought you were going to let this one through.
DARGUS                         => We are. Don't worry about it.
NICOLET                        => Every step of this goes in my report.  I am now taking a manila envelope from the subject's flight bag.
NICOLET                        => The envelope contains currency... all the same denomination, one-hundred- dollar bills. Now, I'm counting it.
DARGUS                         => What time do you have to be there?
JACKIE                         => Four thirty. I'm meeting a woman.
DARGUS                         => What's her name?
JACKIE                         => He wouldn't say. You gonna follow her?
DARGUS                         => She leaves, somebody'll be on her.
JACKIE                         => But you're not going to stop her?
NICOLET                        => The envelope contains ten thousand dollars. The subject will be delivering the currency in a...
JACKIE                         => A Broadway shopping bag.
NICOLET                        => A Broadway shopping bag. A large bag with handles and brown lettering.
MAX                            => Caf mocha.
MAX                            => No, thanks.
JACKIE                         => Think of it as money that shouldn't even be here. I mean does anybody have a right to it?
MAX                            => The feds. It's evidence.
JACKIE                         => It may be evidence once they get their hands on it, but right now it's only money.
YOUNG GIRL                     => Is this seat taken?
JACKIE                         => Have a seat.
JACKIE                         => You're hungry?
YOUNG GIRL                     => Yes'm.
JACKIE                         => Put your bag on the floor, okay? Under the table, right next to mine.
JACKIE                         => Then when I leave, well, you know. What's your name?
YOUNG GIRL                     => Sherona?
JACKIE                         => Go ahead, start eating.
JACKIE                         => Would it bother you if I smoked?
